2010-10-08 17:22:47 Notice: Notice (8): Array to string conversion in [/mnt/projects/computer/zeiterfassung_epple/workspace/zeiterfassung_epple/app/app_controller.php, line 41]
2010-10-08 17:24:01 Notice: Notice (8): Array to string conversion in [/mnt/projects/computer/zeiterfassung_epple/workspace/zeiterfassung_epple/app/app_controller.php, line 41]
2010-10-08 17:24:29 Notice: Notice (8): Array to string conversion in [/mnt/projects/computer/zeiterfassung_epple/workspace/zeiterfassung_epple/app/app_controller.php, line 41]
2010-10-08 17:36:13 Notice: Notice (8): Undefined variable: session in [/mnt/projects/computer/zeiterfassung_epple/workspace/zeiterfassung_epple/cake/libs/view/layouts/default.ctp, line 41]
2010-10-08 17:36:17 Notice: Notice (8): Undefined variable: session in [/mnt/projects/computer/zeiterfassung_epple/workspace/zeiterfassung_epple/cake/libs/view/layouts/default.ctp, line 41]
2010-10-08 17:36:27 Notice: Notice (8): Undefined variable: session in [/mnt/projects/computer/zeiterfassung_epple/workspace/zeiterfassung_epple/cake/libs/view/layouts/default.ctp, line 41]
2010-10-08 17:38:34 Notice: Notice (8): Undefined variable: session in [/mnt/projects/computer/zeiterfassung_epple/workspace/zeiterfassung_epple/app/views/users/login.ctp, line 2]
2010-10-08 17:39:05 Notice: Notice (8): Undefined variable: session in [/mnt/projects/computer/zeiterfassung_epple/workspace/zeiterfassung_epple/app/views/users/login.ctp, line 2]
2010-10-08 17:39:08 Notice: Notice (8): Undefined variable: session in [/mnt/projects/computer/zeiterfassung_epple/workspace/zeiterfassung_epple/app/views/users/login.ctp, line 2]
2010-10-08 17:42:59 Notice: Notice (8): Undefined variable: session in [/mnt/projects/computer/zeiterfassung_epple/workspace/zeiterfassung_epple/cake/libs/view/layouts/default.ctp, line 41]
2010-10-08 18:30:37 Notice: Notice (8): Use of undefined constant DEFAULT_LANGUAGE - assumed 'DEFAULT_LANGUAGE' in [/mnt/projects/computer/zeiterfassung_epple/workspace/zeiterfassung_epple/app/config/bootstrap.php, line 51]
2010-10-10 17:06:05 Notice: Notice (8): Undefined index:  email in [/mnt/projects/computer/zeiterfassung_epple/workspace/zeiterfassung_epple/app/views/users/index.ctp, line 26]
2010-10-10 18:27:57 Notice: Notice (8): Undefined property: UsersController::$Session in [/mnt/projects/computer/zeiterfassung_epple/workspace/zeiterfassung_epple/app/controllers/users_controller.php, line 40]
